Name,City,Rating,Review Count,Price,Tax,Distance From Nearby Routes,Free Cancelation,Couple Friendly,Total Amount
SHREE VENKATESHWARA HOTEL,Lakdikapul,3.6,566.0,2418,680,1.9 km drive to Hussain Sagar Lake,True,False,3098
The Purple Leaf Hotel,Karkhana,3.8,1260.0,3150,770,9.2 km from city centre,True,False,3920
Hotel B Plus L,Hitec City,4.0,1095.0,7812,2100,Not provided,True,False,9912
Hotel Inner Circle,Somajiguda,4.0,579.0,3610,965,2.8 km drive to Hussain Sagar Lake,True,False,4575
Novotel Hyderabad Convention Centre,Hitec City,4.1,2268.0,22325,4019,Not provided,False,False,26344
Hyatt Place Hyderabad Banjara Hills,Banjara Hills,4.1,1945.0,19499,3510,Not provided,True,False,23009
La Sky Boutique Hotel,Shamshabad,3.9,113.0,1066,296,8.5 km drive to Rajiv Gandhi International Airport,True,False,1362
Hotel Rukmini Riviera,Lakdikapul,3.7,418.0,2568,723,1.3 km drive to Hussain Sagar Lake,False,False,3291
32 Urban by Akoya Hotels,Gachibowli,4.3,303.0,3910,1085,Not provided,True,False,4995
Prowell Crown,Hitec City,3.9,443.0,2458,818,Not provided,True,False,3276
The Elite Hotel,Hafeezpet,4.1,308.0,2332,656,Not provided,True,False,2988
ITC Kohenur - A Luxury Collection Hotel,Hitech City,4.3,2882.0,63000,11340,Not provided,True,False,74340
Ellaa Residences,Jubilee Hills,4.5,128.0,5558,2489,Not provided,True,False,8047
The Art Boutique Hotel,Gachibowli,3.9,1364.0,4731,1495,"1.1 km drive to US Consulate, Hyderabad",True,False,6226
TreeInn Hytechs,Hitec City,3.5,319.0,1522,422,Not provided,False,False,1944
The Landmark Banjara Hills,Banjara Hills,3.8,1006.0,2304,621,Not provided,True,False,2925
Hotel Jubilee Ridge,Jubilee Hills,4.2,1001.0,4046,1139,Not provided,True,False,5185
Hotel Yellow Bells Signature HITEC City,Kondapur,3.8,78.0,1032,287,Not provided,True,False,1319
Park Continental,Masab Tank,3.1,1732.0,4680,1144,Not provided,True,False,5824
Ebony Boutique Hotel,Jubilee Hills,3.5,593.0,3581,938,Not provided,True,False,4519
Stae Hotel,Madhapur,4.5,46.0,1883,434,Not provided,True,False,2317
Katriya Hotel and Towers,Somajiguda,2.7,4143.0,4054,1113,1.4 km drive to Hussain Sagar Lake,True,False,5167
Oh Biz Executive-Leonia Holistic Destination,Shamirpet,3.6,619.0,4238,998,29.7 km from city centre,True,False,5236
The Manohar,Begumpet,2.6,672.0,2969,726,3.0 km drive to Hussain Sagar Lake,True,False,3695
Hotel Tourist Plaza,Kachiguda,3.5,366.0,2019,529,Not provided,True,False,2548
The Platinum Boutique Inn,Himayat Nagar,4.0,692.0,2195,575,5 minutes walk to Hussain Sagar Lake,True,False,2770
VOILA AT NEST,Kokapet,4.3,109.0,1661,461,Not provided,True,False,2122
Hotel Incredible One,Secunderabad,4.0,785.0,3276,756,2.0 km drive to Hussain Sagar Lake,True,False,4032
"Park Hyatt Hotel and Residences, Hyderabad",Sri Nagar Colony,4.3,985.0,41000,8200,Not provided,True,False,49200
Western Suites Hi-Tech City,Madhapur,3.9,57.0,3632,905,Not provided,True,False,4537
Hotel Hyderabad Grand,Shamshabad,3.8,1900.0,4000,817,7.6 km drive to Rajiv Gandhi International Airport,True,False,4817
Hotel Atlas Stays Gachibowli,Gachibowli,4.1,178.0,1369,453,Not provided,True,False,1822
Royalton Hyderabad Abids,Abids,3.9,2816.0,4837,988,2.4 km drive to Hussain Sagar Lake,True,False,5825
Hotel Yellow Bells Gachibowli,Gachibowli,3.7,76.0,1445,401,Not provided,True,False,1846
Hotel Ceasta,Gachibowli,4.2,198.0,2369,598,"2 minutes walk to US Consulate, Hyderabad",True,False,2967
Hotel MN Grand Shamshabad Near RGI Airport Hyderabad,Shamshabad,4.3,78.0,2199,494,8.2 km drive to Rajiv Gandhi International Airport,True,False,2693
The Altruist Business Hotel (Hitech),Shilpa Hills,3.7,2245.0,3674,1143,Not provided,True,False,4817
